GT_date,AMZN
2021-11-07,24
2021-11-08,24
2021-11-09,24
2021-11-10,24
2021-11-11,24
2021-11-12,24
2021-11-13,24
2021-11-14,24
2021-11-15,24
2021-11-16,24
2021-11-17,24
2021-11-18,24
2021-11-19,24
2021-11-20,24
2021-11-21,21
2021-11-22,21
2021-11-23,21
2021-11-24,21
2021-11-25,21
2021-11-26,21
2021-11-27,21
2021-11-28,24
2021-11-29,24
2021-11-30,24
2021-12-01,24
2021-12-02,24
2021-12-03,24
2021-12-04,24
2021-12-05,21
2021-12-06,21
2021-12-07,21
2021-12-08,21
2021-12-09,21
2021-12-10,21
2021-12-11,21
2021-12-12,21
2021-12-13,21
2021-12-14,21
2021-12-15,21
2021-12-16,21
2021-12-17,21
2021-12-18,21
2021-12-19,20
2021-12-20,20
2021-12-21,20
2021-12-22,20
2021-12-23,20
2021-12-24,20
2021-12-25,20
2021-12-26,19
2021-12-27,19
2021-12-28,19
2021-12-29,19
2021-12-30,19
2021-12-31,19
2022-01-01,19
